challenge_id,class
TRAIN055178,gradeable
TRAIN008147,gradeable
TRAIN070762,gradeable
TRAIN094723,gradeable
TRAIN025437,gradeable
TRAIN082381,gradeable
TRAIN016030,gradeable
TRAIN027451,gradeable
TRAIN007555,gradeable
TRAIN093385,gradeable
TRAIN045715,gradeable
TRAIN043398,gradeable
TRAIN064713,gradeable
TRAIN048533,gradeable
TRAIN069275,gradeable
TRAIN094750,gradeable
TRAIN012396,gradeable
TRAIN057198,gradeable
TRAIN058775,gradeable
TRAIN034531,gradeable
TRAIN059326,gradeable
TRAIN018069,gradeable
TRAIN016897,gradeable
TRAIN090022,gradeable
TRAIN076339,gradeable
TRAIN001303,gradeable
TRAIN057812,gradeable
TRAIN080931,gradeable
TRAIN035867,gradeable
TRAIN079065,gradeable
TRAIN096036,gradeable
TRAIN076927,gradeable
TRAIN061729,gradeable
TRAIN069689,gradeable
TRAIN073291,gradeable
TRAIN098431,gradeable
TRAIN091021,gradeable
TRAIN089609,gradeable
TRAIN086565,gradeable
TRAIN091633,gradeable
TRAIN092044,gradeable
TRAIN077121,gradeable
TRAIN055019,gradeable
TRAIN014540,gradeable
TRAIN010463,gradeable
TRAIN018519,gradeable
TRAIN006665,gradeable
TRAIN091085,gradeable
TRAIN035828,gradeable
TRAIN081868,gradeable
TRAIN028240,gradeable
TRAIN008053,gradeable
TRAIN100069,gradeable
TRAIN080946,gradeable
TRAIN036173,gradeable
TRAIN016973,gradeable
TRAIN082772,gradeable
TRAIN022964,gradeable
TRAIN072255,gradeable
TRAIN097444,gradeable
TRAIN060818,gradeable
TRAIN089192,gradeable
TRAIN061553,gradeable
TRAIN061646,gradeable
TRAIN053437,gradeable
TRAIN093102,gradeable
TRAIN074060,gradeable
TRAIN019242,gradeable
TRAIN029622,gradeable
TRAIN019389,gradeable
TRAIN100088,gradeable
TRAIN038296,gradeable
TRAIN039394,gradeable
TRAIN017451,gradeable
TRAIN100697,gradeable
TRAIN003881,gradeable
TRAIN022900,gradeable
TRAIN003732,gradeable
TRAIN041756,gradeable
TRAIN057315,gradeable
TRAIN043688,gradeable
TRAIN036694,gradeable
TRAIN040954,gradeable
TRAIN020006,gradeable
TRAIN005427,gradeable
TRAIN043683,gradeable
TRAIN069488,gradeable
TRAIN017645,gradeable
TRAIN065196,gradeable
TRAIN034197,gradeable
TRAIN099125,gradeable
TRAIN051007,gradeable
TRAIN009913,gradeable
TRAIN096881,gradeable
TRAIN035868,gradeable
TRAIN055830,gradeable
TRAIN064701,gradeable
TRAIN027302,gradeable
TRAIN019088,gradeable
TRAIN006939,gradeable
TRAIN047646,gradeable
TRAIN016737,gradeable
TRAIN078217,gradeable
TRAIN089499,gradeable
TRAIN020103,gradeable
TRAIN099403,gradeable
TRAIN042515,gradeable
TRAIN040003,gradeable
TRAIN019648,gradeable
TRAIN042482,gradeable
TRAIN081829,gradeable
TRAIN003240,gradeable
TRAIN023641,gradeable
TRAIN027495,gradeable
TRAIN009047,gradeable
TRAIN085067,gradeable
TRAIN052742,gradeable
TRAIN055304,gradeable
TRAIN090731,gradeable
TRAIN003335,gradeable
TRAIN077807,gradeable
TRAIN067159,gradeable
TRAIN033659,gradeable
TRAIN034031,gradeable
TRAIN083802,gradeable
TRAIN099010,gradeable
TRAIN083491,gradeable
TRAIN007038,gradeable
TRAIN068298,gradeable
TRAIN006925,gradeable
TRAIN079374,gradeable
TRAIN093026,gradeable
TRAIN014354,gradeable
TRAIN050104,gradeable
TRAIN091955,gradeable
TRAIN075113,gradeable
TRAIN010201,gradeable
TRAIN061334,gradeable
TRAIN002702,gradeable
TRAIN044818,gradeable
TRAIN088875,gradeable
TRAIN056463,gradeable
TRAIN090787,gradeable
TRAIN021784,gradeable
TRAIN077929,gradeable
TRAIN006006,gradeable
TRAIN066609,gradeable
TRAIN071727,gradeable
TRAIN046190,gradeable
TRAIN022731,gradeable
TRAIN062795,gradeable
TRAIN049994,gradeable
TRAIN032412,gradeable
TRAIN033371,gradeable
TRAIN082358,gradeable
TRAIN081251,gradeable
TRAIN069871,gradeable
TRAIN037140,gradeable
TRAIN090853,gradeable
TRAIN012549,gradeable
TRAIN078803,gradeable
TRAIN005435,gradeable
TRAIN003415,gradeable
TRAIN073808,gradeable
TRAIN020291,gradeable
TRAIN022880,gradeable
TRAIN035278,gradeable
TRAIN069357,gradeable
TRAIN077346,gradeable
TRAIN007043,gradeable
TRAIN047935,gradeable
TRAIN046726,gradeable
TRAIN024455,gradeable
TRAIN032613,gradeable
TRAIN001324,gradeable
TRAIN081619,gradeable
TRAIN000481,gradeable
TRAIN060998,gradeable
TRAIN039577,gradeable
TRAIN052801,gradeable
TRAIN007112,gradeable
TRAIN093847,gradeable
TRAIN063760,gradeable
TRAIN087828,gradeable
TRAIN057816,gradeable
TRAIN063227,gradeable
TRAIN066676,gradeable
TRAIN056593,gradeable
TRAIN094888,gradeable
TRAIN051817,gradeable
TRAIN008410,gradeable
TRAIN090434,gradeable
TRAIN030300,gradeable
TRAIN010817,gradeable
TRAIN069418,gradeable
TRAIN032355,gradeable
TRAIN061613,gradeable
TRAIN100300,gradeable
TRAIN015508,gradeable
TRAIN087004,gradeable
TRAIN029085,gradeable
TRAIN035060,gradeable
TRAIN073139,gradeable
TRAIN071168,gradeable
TRAIN098512,gradeable
TRAIN045218,gradeable
TRAIN093290,gradeable
TRAIN035158,gradeable
TRAIN003824,gradeable
TRAIN024772,gradeable
TRAIN048803,gradeable
TRAIN018471,gradeable
TRAIN100295,gradeable
TRAIN013581,gradeable
TRAIN023118,gradeable
TRAIN054325,gradeable
TRAIN003841,gradeable
TRAIN100230,gradeable
TRAIN094175,gradeable
TRAIN094172,gradeable
TRAIN084464,gradeable
TRAIN092377,gradeable
TRAIN032602,gradeable
TRAIN049565,gradeable
TRAIN005662,gradeable
TRAIN060214,gradeable
TRAIN073230,gradeable
TRAIN085491,gradeable
TRAIN020257,gradeable
TRAIN081585,gradeable
TRAIN067123,gradeable
TRAIN093076,gradeable
TRAIN074673,gradeable
TRAIN092414,gradeable
TRAIN025783,gradeable
TRAIN097823,gradeable
TRAIN097251,gradeable
TRAIN010884,gradeable
TRAIN096969,gradeable
TRAIN038226,gradeable
TRAIN000935,gradeable
TRAIN045528,gradeable
TRAIN019262,gradeable
TRAIN049774,gradeable
TRAIN081152,gradeable
TRAIN092853,gradeable
TRAIN011094,gradeable
TRAIN099013,gradeable
TRAIN036114,gradeable
TRAIN038148,gradeable
TRAIN072103,gradeable
TRAIN031613,gradeable
TRAIN025193,gradeable
TRAIN009253,gradeable
TRAIN092739,gradeable
TRAIN075903,gradeable
TRAIN018225,gradeable
TRAIN036706,gradeable
TRAIN053391,gradeable
TRAIN006182,gradeable
TRAIN051495,gradeable
TRAIN091274,gradeable
TRAIN034605,gradeable
TRAIN048606,gradeable
TRAIN046208,gradeable
TRAIN080663,gradeable
TRAIN002356,gradeable
TRAIN037868,gradeable
TRAIN021105,gradeable
TRAIN022071,gradeable
TRAIN051873,gradeable
TRAIN015048,gradeable
TRAIN027040,gradeable
TRAIN062200,gradeable
TRAIN035052,gradeable
TRAIN094199,gradeable
TRAIN074279,gradeable
TRAIN001630,gradeable
TRAIN016544,gradeable
TRAIN026567,gradeable
TRAIN051050,gradeable
TRAIN051143,gradeable
TRAIN081635,gradeable
TRAIN077070,gradeable
TRAIN052741,gradeable
TRAIN021243,gradeable
TRAIN054665,gradeable
TRAIN003552,gradeable
TRAIN024122,gradeable
TRAIN097060,gradeable
TRAIN024055,gradeable
TRAIN058330,gradeable
TRAIN061821,gradeable
TRAIN072339,gradeable
TRAIN055314,gradeable
TRAIN024096,gradeable
TRAIN028881,gradeable
TRAIN051932,gradeable
TRAIN081817,gradeable
TRAIN043812,gradeable
TRAIN037618,gradeable
TRAIN035829,gradeable
TRAIN046533,gradeable
TRAIN089588,gradeable
TRAIN058582,gradeable
TRAIN099718,gradeable
TRAIN035768,gradeable
TRAIN036040,gradeable
TRAIN020655,gradeable
TRAIN050323,gradeable
TRAIN056743,gradeable
TRAIN074681,gradeable
TRAIN046130,gradeable
TRAIN066492,gradeable
TRAIN075204,gradeable
TRAIN032102,gradeable
TRAIN064238,gradeable
TRAIN027406,gradeable
TRAIN088367,gradeable
TRAIN084149,gradeable
TRAIN020095,gradeable
TRAIN050055,gradeable
TRAIN056562,gradeable
TRAIN008810,gradeable
TRAIN042100,gradeable
TRAIN080753,gradeable
TRAIN014277,gradeable
TRAIN089664,gradeable
TRAIN101123,gradeable
TRAIN020434,gradeable
TRAIN090610,gradeable
TRAIN046043,gradeable
TRAIN059302,gradeable
TRAIN100028,gradeable
TRAIN054291,gradeable
TRAIN030977,gradeable
TRAIN021553,gradeable
TRAIN040085,gradeable
TRAIN051776,gradeable
TRAIN095870,gradeable
TRAIN023843,gradeable
TRAIN015049,gradeable
TRAIN005319,gradeable
TRAIN042435,gradeable
TRAIN087334,gradeable
TRAIN004956,gradeable
TRAIN071434,gradeable
TRAIN064478,gradeable
TRAIN036022,gradeable
TRAIN056077,gradeable
TRAIN055742,gradeable
TRAIN009865,gradeable
TRAIN023936,gradeable
TRAIN037568,gradeable
TRAIN043822,gradeable
TRAIN059338,gradeable
TRAIN089710,gradeable
TRAIN085999,gradeable
TRAIN006077,gradeable
TRAIN091529,gradeable
TRAIN013644,gradeable
TRAIN021642,gradeable
TRAIN076577,gradeable
TRAIN099330,gradeable
TRAIN031411,gradeable
TRAIN049609,gradeable
TRAIN093792,gradeable
TRAIN004908,gradeable
TRAIN065370,gradeable
TRAIN036154,gradeable
TRAIN063377,gradeable
TRAIN049827,gradeable
TRAIN050977,gradeable
TRAIN029587,gradeable
TRAIN084336,gradeable
TRAIN027141,gradeable
TRAIN008986,gradeable
TRAIN053579,gradeable
TRAIN092294,gradeable
TRAIN047517,gradeable
TRAIN028838,gradeable
TRAIN008639,gradeable
TRAIN009431,gradeable
TRAIN008198,gradeable
TRAIN084843,gradeable
TRAIN021798,gradeable
TRAIN021764,gradeable
TRAIN016926,gradeable
TRAIN076969,gradeable
TRAIN028293,gradeable
TRAIN048279,gradeable
TRAIN054154,gradeable
TRAIN033409,gradeable
TRAIN058155,gradeable
TRAIN033366,gradeable
TRAIN004786,gradeable
TRAIN040079,gradeable
TRAIN059720,gradeable
TRAIN093047,gradeable
TRAIN066646,gradeable
TRAIN051645,gradeable
TRAIN047713,gradeable
TRAIN055325,gradeable
TRAIN017853,gradeable
TRAIN022878,gradeable
TRAIN090963,gradeable
TRAIN016384,gradeable
TRAIN084733,gradeable
TRAIN088235,gradeable
TRAIN047424,gradeable
TRAIN037312,gradeable
TRAIN055609,gradeable
TRAIN052095,gradeable
TRAIN027006,gradeable
TRAIN059046,gradeable
TRAIN013004,gradeable
TRAIN085078,gradeable
TRAIN005667,gradeable
TRAIN048404,gradeable
TRAIN082472,gradeable
TRAIN045148,gradeable
TRAIN056798,gradeable
TRAIN001129,gradeable
TRAIN009629,gradeable
TRAIN018819,gradeable
TRAIN075185,gradeable
TRAIN034859,gradeable
TRAIN040272,gradeable
TRAIN000316,gradeable
TRAIN091926,gradeable
TRAIN084024,gradeable
TRAIN067690,gradeable
TRAIN093770,gradeable
TRAIN037169,gradeable
TRAIN025959,gradeable
TRAIN028690,gradeable
TRAIN019417,gradeable
TRAIN087529,gradeable
TRAIN046513,gradeable
TRAIN059452,gradeable
TRAIN012210,gradeable
TRAIN047408,gradeable
TRAIN093601,gradeable
TRAIN095649,gradeable
TRAIN100832,gradeable
TRAIN084806,gradeable
TRAIN084249,gradeable
TRAIN014187,gradeable
TRAIN085501,gradeable
TRAIN087475,gradeable
TRAIN002104,gradeable
TRAIN052628,gradeable
TRAIN079028,gradeable
TRAIN029002,gradeable
TRAIN073056,gradeable
TRAIN005535,gradeable
TRAIN047102,gradeable
TRAIN005715,gradeable
TRAIN098046,gradeable
TRAIN061379,gradeable
TRAIN065677,gradeable
TRAIN040477,gradeable
TRAIN032017,gradeable
TRAIN043912,gradeable
TRAIN096406,gradeable
TRAIN040218,gradeable
TRAIN096625,gradeable
TRAIN012765,gradeable
TRAIN035933,gradeable
TRAIN009489,gradeable
TRAIN045924,gradeable
TRAIN046155,gradeable
TRAIN075484,gradeable
TRAIN069510,gradeable
TRAIN082142,gradeable
TRAIN099886,gradeable
TRAIN047773,gradeable
TRAIN046355,gradeable
TRAIN079111,gradeable
TRAIN016866,gradeable
TRAIN086219,gradeable
TRAIN025271,gradeable
TRAIN034876,gradeable
TRAIN086331,gradeable
TRAIN012275,gradeable
TRAIN065646,gradeable
TRAIN009030,gradeable
TRAIN078243,gradeable
TRAIN004718,gradeable
TRAIN004346,gradeable
TRAIN051094,gradeable
TRAIN026352,gradeable
TRAIN059706,gradeable
TRAIN070553,gradeable
TRAIN053613,gradeable
TRAIN033257,gradeable
TRAIN092837,gradeable
TRAIN097845,gradeable
TRAIN038743,gradeable
TRAIN090373,gradeable
TRAIN075229,gradeable
TRAIN082210,gradeable
TRAIN015122,gradeable
TRAIN049492,gradeable
TRAIN080835,gradeable
TRAIN065331,gradeable
TRAIN054873,gradeable
TRAIN091173,gradeable
TRAIN037069,gradeable
TRAIN054031,gradeable
TRAIN097575,gradeable
TRAIN032124,gradeable
TRAIN073237,gradeable
TRAIN099400,gradeable
TRAIN032238,gradeable
TRAIN011244,gradeable
TRAIN071873,gradeable
TRAIN022419,gradeable
TRAIN076432,gradeable
TRAIN085767,gradeable
TRAIN049590,gradeable
TRAIN049621,gradeable
TRAIN003219,gradeable
TRAIN016265,gradeable
TRAIN079812,gradeable
TRAIN000351,gradeable
TRAIN085866,gradeable
TRAIN020530,gradeable
TRAIN046057,gradeable
TRAIN063766,gradeable
TRAIN083479,gradeable
TRAIN033573,gradeable
TRAIN017483,gradeable
TRAIN016475,gradeable
TRAIN016565,gradeable
TRAIN050485,gradeable
TRAIN026004,gradeable
TRAIN056625,gradeable
TRAIN098448,gradeable
TRAIN065934,gradeable
TRAIN021076,gradeable
TRAIN019151,gradeable
TRAIN019612,gradeable
TRAIN053607,gradeable
TRAIN034842,gradeable
TRAIN002391,gradeable
TRAIN095376,gradeable
TRAIN049740,gradeable
TRAIN074233,gradeable
TRAIN096743,gradeable
TRAIN074208,gradeable
TRAIN054778,gradeable
TRAIN030331,gradeable
TRAIN029744,gradeable
TRAIN073703,gradeable
TRAIN061290,gradeable
TRAIN041694,gradeable
TRAIN075442,gradeable
TRAIN082498,gradeable
TRAIN057352,gradeable
TRAIN013411,gradeable
TRAIN083964,gradeable
TRAIN020378,gradeable
TRAIN062055,gradeable
TRAIN070572,gradeable
TRAIN083051,gradeable
TRAIN083270,gradeable
TRAIN091324,gradeable
TRAIN006286,gradeable
TRAIN095510,gradeable
TRAIN085219,gradeable
TRAIN058612,gradeable
TRAIN092885,gradeable
TRAIN090407,gradeable
TRAIN058852,gradeable
TRAIN066000,gradeable
TRAIN016734,gradeable
TRAIN078167,gradeable
TRAIN046263,gradeable
TRAIN082776,gradeable
TRAIN071656,gradeable
TRAIN091914,gradeable
TRAIN077218,gradeable
TRAIN013688,gradeable
TRAIN081352,gradeable
TRAIN033866,gradeable
TRAIN098015,gradeable
TRAIN094933,gradeable
TRAIN064246,gradeable
TRAIN005353,gradeable
TRAIN029276,gradeable
TRAIN075444,gradeable
TRAIN092259,gradeable
TRAIN055501,gradeable
TRAIN078383,gradeable
TRAIN096118,gradeable
TRAIN055187,gradeable
TRAIN034040,gradeable
TRAIN017797,gradeable
TRAIN048713,gradeable
TRAIN006488,gradeable
TRAIN012099,gradeable
TRAIN079966,gradeable
TRAIN091378,gradeable
TRAIN043187,gradeable
TRAIN077374,gradeable
TRAIN078634,gradeable
TRAIN053614,gradeable
TRAIN077579,gradeable
TRAIN070170,gradeable
TRAIN066346,gradeable
TRAIN047929,gradeable
TRAIN005858,gradeable
TRAIN054733,gradeable
TRAIN078338,gradeable
TRAIN063908,gradeable
TRAIN034418,gradeable
TRAIN066446,gradeable
TRAIN021962,gradeable
TRAIN072573,gradeable
TRAIN049977,gradeable
TRAIN020099,gradeable
TRAIN014201,gradeable
TRAIN075116,gradeable
TRAIN026565,gradeable
TRAIN008171,gradeable
TRAIN066435,gradeable
TRAIN043943,gradeable
TRAIN071899,gradeable
TRAIN063130,gradeable
TRAIN033120,gradeable
TRAIN031621,gradeable
TRAIN044862,gradeable
TRAIN054130,gradeable
TRAIN093647,gradeable
TRAIN093346,gradeable
TRAIN088508,gradeable
TRAIN002505,gradeable
TRAIN071533,gradeable
TRAIN025346,gradeable
TRAIN041184,gradeable
TRAIN004811,gradeable
TRAIN050262,gradeable
TRAIN037043,gradeable
TRAIN049153,gradeable
TRAIN019690,gradeable
TRAIN026341,gradeable
TRAIN037716,gradeable
TRAIN085813,gradeable
TRAIN096282,gradeable
TRAIN095687,gradeable
TRAIN083535,gradeable
TRAIN082773,gradeable
TRAIN024706,gradeable
TRAIN035036,gradeable
TRAIN043274,gradeable
TRAIN093103,gradeable
TRAIN067106,gradeable
TRAIN011342,gradeable
TRAIN090402,gradeable
TRAIN012646,gradeable
TRAIN034880,gradeable
TRAIN001400,gradeable
TRAIN024313,gradeable
TRAIN092448,gradeable
TRAIN066099,gradeable
TRAIN042784,gradeable
TRAIN005764,gradeable
TRAIN084013,gradeable
TRAIN056034,gradeable
TRAIN068003,gradeable
TRAIN006368,gradeable
TRAIN054494,gradeable
TRAIN084575,gradeable
TRAIN020896,gradeable
TRAIN097096,gradeable
TRAIN073176,gradeable
TRAIN083728,gradeable
TRAIN043004,gradeable
TRAIN059425,gradeable
TRAIN100412,gradeable
TRAIN046569,gradeable
TRAIN074412,gradeable
TRAIN069449,gradeable
TRAIN085349,gradeable
TRAIN022836,gradeable
TRAIN088365,gradeable
TRAIN010239,gradeable
TRAIN045967,gradeable
TRAIN010754,gradeable
TRAIN001276,gradeable
TRAIN028961,gradeable
TRAIN067195,gradeable
TRAIN089101,gradeable
TRAIN025651,gradeable
TRAIN036603,gradeable
TRAIN083518,gradeable
TRAIN049001,gradeable
TRAIN045817,gradeable
TRAIN050668,gradeable
TRAIN079790,gradeable
TRAIN032600,gradeable
TRAIN058763,gradeable
TRAIN070313,gradeable
TRAIN043451,gradeable
TRAIN013692,gradeable
TRAIN090531,gradeable
TRAIN048807,gradeable
TRAIN033421,gradeable
TRAIN091095,gradeable
TRAIN057251,gradeable
TRAIN053271,gradeable
TRAIN033284,gradeable
TRAIN030643,gradeable
TRAIN008752,gradeable
TRAIN098312,gradeable
TRAIN027715,gradeable
TRAIN017777,gradeable
TRAIN016840,gradeable
TRAIN095866,gradeable
TRAIN088929,gradeable
TRAIN057699,gradeable
TRAIN069258,gradeable
TRAIN081232,gradeable
TRAIN033058,gradeable
TRAIN056142,gradeable
TRAIN091708,gradeable
TRAIN082274,gradeable
TRAIN097892,gradeable
TRAIN004980,gradeable
TRAIN063513,gradeable
TRAIN074989,gradeable
TRAIN088660,gradeable
TRAIN083851,gradeable
TRAIN030177,gradeable
TRAIN092915,gradeable
TRAIN088561,gradeable
TRAIN049449,gradeable
TRAIN055327,gradeable
TRAIN081383,gradeable
TRAIN025754,gradeable
TRAIN016763,gradeable
TRAIN100249,gradeable
TRAIN044609,gradeable
TRAIN037933,gradeable
TRAIN090011,gradeable
TRAIN006541,gradeable
TRAIN016603,gradeable
TRAIN054942,gradeable
TRAIN065707,gradeable
TRAIN009688,gradeable
TRAIN000342,gradeable
TRAIN028908,gradeable
TRAIN098603,gradeable
TRAIN034463,gradeable
TRAIN098287,gradeable
TRAIN039356,gradeable
TRAIN090676,gradeable
TRAIN015521,gradeable
TRAIN053739,gradeable
TRAIN088253,gradeable
TRAIN002713,gradeable
TRAIN074114,gradeable
TRAIN082525,gradeable
TRAIN035430,gradeable
TRAIN020763,gradeable
TRAIN048360,gradeable
TRAIN029606,gradeable
TRAIN061066,gradeable
TRAIN032575,gradeable
TRAIN070287,gradeable
TRAIN071271,gradeable
TRAIN058215,gradeable
TRAIN001535,gradeable
TRAIN024594,gradeable
TRAIN061938,gradeable
TRAIN037582,gradeable
TRAIN098590,gradeable
TRAIN052283,gradeable
TRAIN032407,gradeable
TRAIN071926,gradeable
TRAIN072910,gradeable
TRAIN022393,gradeable
TRAIN095557,gradeable
TRAIN024987,gradeable
TRAIN068110,gradeable
TRAIN064088,gradeable
TRAIN089266,gradeable
TRAIN007943,gradeable
TRAIN095998,gradeable
TRAIN073702,gradeable
TRAIN011919,gradeable
TRAIN036121,gradeable
TRAIN099729,gradeable
TRAIN065329,gradeable
TRAIN072679,gradeable
TRAIN068096,gradeable
TRAIN046438,gradeable
TRAIN081396,gradeable
TRAIN090848,gradeable
TRAIN018516,gradeable
TRAIN029813,gradeable
TRAIN018751,gradeable
TRAIN048631,gradeable
TRAIN092979,gradeable
TRAIN060071,gradeable
TRAIN076376,gradeable
TRAIN078999,gradeable
TRAIN052164,gradeable
TRAIN051965,gradeable
TRAIN061761,gradeable
TRAIN083751,gradeable
TRAIN017621,gradeable
TRAIN040285,gradeable
TRAIN053091,gradeable
TRAIN040699,gradeable
TRAIN039985,gradeable
TRAIN028024,gradeable
TRAIN091778,gradeable
TRAIN087756,gradeable
TRAIN023419,gradeable
TRAIN033768,gradeable
TRAIN041003,gradeable
TRAIN069388,gradeable
TRAIN058453,gradeable
TRAIN010389,gradeable
TRAIN030842,gradeable
TRAIN069365,gradeable
TRAIN046314,gradeable
TRAIN007076,gradeable
TRAIN002206,gradeable
TRAIN070316,gradeable
TRAIN081902,gradeable
TRAIN049945,gradeable
TRAIN090254,gradeable
TRAIN041780,gradeable
TRAIN032296,gradeable
TRAIN034568,gradeable
TRAIN083179,gradeable
TRAIN023193,gradeable
TRAIN018391,gradeable
TRAIN073040,gradeable
TRAIN014797,gradeable
TRAIN058078,gradeable
TRAIN041799,gradeable
TRAIN069490,gradeable
TRAIN057650,gradeable
TRAIN062512,gradeable
TRAIN083484,gradeable
TRAIN022897,gradeable
TRAIN060686,gradeable
TRAIN023474,gradeable
TRAIN100384,gradeable
TRAIN071829,gradeable
TRAIN096098,gradeable
TRAIN056595,gradeable
TRAIN021235,gradeable
TRAIN012733,gradeable
TRAIN092049,gradeable
TRAIN017089,gradeable
TRAIN027621,gradeable
TRAIN091374,gradeable
TRAIN010849,gradeable
TRAIN032898,gradeable
TRAIN021309,gradeable
TRAIN080884,gradeable
TRAIN031682,gradeable
TRAIN099065,gradeable
TRAIN026536,gradeable
TRAIN016875,gradeable
TRAIN039025,gradeable
TRAIN051169,gradeable
TRAIN068097,gradeable
TRAIN049242,gradeable
TRAIN056488,gradeable
TRAIN058211,gradeable
TRAIN002084,gradeable
TRAIN058308,gradeable
TRAIN043952,gradeable
TRAIN098922,gradeable
TRAIN009329,gradeable
TRAIN060899,gradeable
TRAIN090003,gradeable
TRAIN010698,gradeable
TRAIN011004,gradeable
TRAIN099955,gradeable
TRAIN049322,gradeable
TRAIN003459,gradeable
TRAIN056747,gradeable
TRAIN026777,gradeable
TRAIN004778,gradeable
TRAIN078094,gradeable
TRAIN048603,gradeable
TRAIN013649,gradeable
TRAIN063116,gradeable
TRAIN016893,gradeable
TRAIN003854,gradeable
TRAIN016165,gradeable
TRAIN070457,gradeable
TRAIN081666,gradeable
TRAIN093798,gradeable
TRAIN072495,gradeable
TRAIN013662,gradeable
TRAIN040240,gradeable
TRAIN033813,gradeable
TRAIN079092,gradeable
TRAIN014975,gradeable
TRAIN003205,gradeable
TRAIN093723,gradeable
TRAIN079961,gradeable
TRAIN016929,gradeable
TRAIN064065,gradeable
TRAIN087887,gradeable
TRAIN022319,gradeable
TRAIN008720,gradeable
TRAIN023699,gradeable
TRAIN079933,gradeable
TRAIN007532,gradeable
TRAIN065170,gradeable
TRAIN100942,gradeable
TRAIN062389,gradeable
TRAIN080905,gradeable
TRAIN059691,gradeable
TRAIN069150,gradeable
TRAIN028598,gradeable
TRAIN049970,gradeable
TRAIN020914,gradeable
TRAIN074039,gradeable
TRAIN069172,gradeable
TRAIN034186,gradeable
TRAIN078401,gradeable
TRAIN086591,gradeable
TRAIN002696,gradeable
TRAIN099682,gradeable
TRAIN001335,gradeable
TRAIN020290,gradeable
TRAIN084777,gradeable
TRAIN074781,gradeable
TRAIN028516,gradeable
TRAIN075233,gradeable
TRAIN044658,gradeable
TRAIN085243,gradeable
TRAIN043160,gradeable
TRAIN049900,gradeable
TRAIN050530,gradeable
TRAIN005692,gradeable
TRAIN099379,gradeable
TRAIN009058,gradeable
TRAIN073075,gradeable
TRAIN058776,gradeable
TRAIN059532,gradeable
TRAIN013777,gradeable
TRAIN023516,gradeable
TRAIN068286,gradeable
TRAIN015263,gradeable
TRAIN015186,gradeable
